Track,Artist,RL,Release Date,Spotify Streams,TikTok Views,Shazam Counts,Explicit Track
Get You The Moon (feat. Snï¿½ï,Kina,0,10/8/2018,"1,020,435,750","21,650,351,404","7,130,025",0
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,0,2/19/2016,"1,121,107,262","188,481,260","28,279,099",0
Higher Love,Kygo,0,6/28/2019,"943,137,389","94,552,478","5,337,579",0
Stole the Show,Kygo,0,3/23/2015,"964,765,127","69,198,449","12,887,220",0
Firestone,Kygo,0,2/9/2015,"1,106,264,600","44,057,930","17,246,943",0
It Ain't Me (with Selena Gomez),Kygo,0,2/16/2017,"1,430,439,855","81,779,367","13,603,866",0
iSpy (feat. Lil Yachty),KYLE,0,12/2/2016,"960,430,911","318,342,595","4,583,248",1
Strip That Down (feat. Quavo),Liam Payne,0,5/18/2017,"1,000,549,809","181,309,829","7,058,362",0
Blueberry Faygo,Lil Mosey,0,11/8/2019,"1,295,251,940","1,065,757,953","2,786,545",1
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,0,1/1/2014,"1,074,583,619","138,609,613","30,826,278",0
MONEY,LISA,0,9/10/2021,"1,189,335,848","12,516,703,531","3,720,737",1
Truth Hurts,Lizzo,0,3/9/2016,"990,118,320","548,222,747","7,067,468",1
1-800-273-8255,Logic,0,4/28/2017,"1,332,154,389","176,473,936","6,612,245",1
ýýchame La Culpa,Luis Fonsi,0,11/17/2017,"935,042,457","139,512,356","8,719,140",0
Despacito - Remix,Luis Fonsi,0,4/17/2017,"1,713,294,983","607,999,568","7,805,645",0
Despacito,Luis Fonsi,0,1/13/2017,"1,747,093,405","1,143,297,071","19,622,551",0
Soltera - Remix,Lunay,0,5/10/2019,"960,753,774","68,313,797","1,945,500",0
Midnight City,M83,0,1/1/2011,"1,081,517,243","1,010,922,723","14,591,951",0
Don't Call Me Up,Mabel,0,1/18/2019,"1,016,283,394","45,585,575","9,406,511",0
All I Want for Christmas Is You,Mariah Carey,0,1/1/1994,"1,810,649,765","15,963,128,797","6,531,412",0
Let Me Love You,Mario,0,1/1/2004,"971,172,980","171,491,357","6,473,758",0
Astronaut In The Ocean,Masked Wolf,0,1/1/2019,"1,251,675,613","338,873,585","14,636,399",1
Lose Control,MEDUZA,0,9/27/2019,"932,911,098","5,676,756,004","8,835,435",0
Piece Of Your Heart,MEDUZA,0,2/1/2019,"995,452,298","1,282,810,923","14,464,887",0
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,0,1/9/2015,"1,060,255,231","196,304,893","8,460,234",0
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,0,3/19/2021,"1,053,626,902","1,755,214,047","6,698,043",1
Beggin',Mï¿½ï¿½ne,0,12/8/2017,"1,601,293,263","18,153,723,096","14,404,336",0
Bad and Boujee (feat. Lil Uzi Vert),Migos,0,10/28/2016,"936,450,891","223,131","521,405",0
Bad and Boujee (feat. Lil Uzi Vert),Migos,0,10/28/2016,"936,450,891","288,759,827","6,813,172",1
Sure Thing,Miguel,0,5/25/2010,"1,335,928,309","595,426,317","8,783,890",0
Stolen Dance,Milky Chance,0,1/1/2013,"1,460,945,792","2,134,365,963","24,485,799",0
Classic,MKTO,0,1/1/2012,"1,350,428,257","3,172,500,312","5,519,429",0
LALA,Myke Towers,0,3/22/2023,"925,655,569","7,499,234,052","2,765,808",1
Promiscuous,Nelly Furtado,0,1/1/2006,"1,194,124,781","1,795,501,997","6,254,052",0
X,Nicky Jam,0,2/22/2018,"981,323,727","371,899,059","13,561,186",0
Am I Wrong,Nico & Vinz,0,1/1/2013,"965,827,790","930,985,864","19,231,875",0
Te Botï¿½ï¿½ - R,Nio Garcia,0,1/1/2017,"1,176,693,861","254,943,718","8,825,164",1
July,Noah Cyrus,0,7/31/2019,"977,870,118","348,624,319","1,097,743",0
Stick Season,Noah Kahan,0,7/8/2022,"965,865,213","275,016,537","3,365,903",0
Little Talks,Of Monsters and Men,0,1/1/2011,"1,050,676,021","162,004,699","15,749,222",0
Ric Flair Drip (with Metro Boomin),Offset,0,10/30/2017,"1,506,766,477","127,112,835","3,628,434",1
Adan y Eva,Paulo Londra,0,11/5/2018,"915,772,593","107,834,415","2,131,758",0
Calma - Remix,Pedro Capï¿,0,10/5/2018,"1,153,753,974","124,640,416","14,113,990",0
RAPSTAR,Polo G,0,4/9/2021,"923,823,292","619,442,138","2,180,167",1
Locked Away (feat. Adam Levine),R. City,0,6/29/2015,"990,518,773","348,767,238","17,627,794",0
Black Beatles,Rae Sremmurd,0,8/12/2016,"972,005,229","184,153,973","12,673,047",1
Human,Rag'n'Bone Man,0,7/21/2016,"1,013,083,048","1,070,508,080","19,092,054",0
Ride It,Regard,0,7/26/2019,"1,349,427,877","5,118,900,832","16,283,609",0
Calm Down (with Selena Gomez),Rema,0,8/25/2022,"1,391,688,322","2,857,920","3,521,951",0
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,0,1/15/2021,"979,440,925","269,812,694","8,389,740",0
SNAP,Rosa Linn,0,3/19/2022,"1,039,482,815","6,824,133","9,224,184",0
No Lie,Sean Paul,0,1/1/2015,"1,162,659,862","1,580,838,186","13,852,674",0
Mo Bamba,Sheck Wes,0,9/19/2017,"1,056,346,890","1,247,183,383","6,159,848",1
Elastic Heart,Sia,0,11/20/2011,"924,784,325","663,268,482","3,499,919",0
Snowman,Sia,0,11/9/2017,"947,770,190","5,479,108,705","5,574,595",0
Unstoppable,Sia,0,1/21/2016,"1,285,237,951","14,808,888,629","15,422,384",0
Titanium (feat. Sia),Sia,0,1/1/2011,"1,634,403,761","510,515,661","15,214,627",0
Chandelier,Sia,0,1/1/2014,"1,729,264,620","1,176,707,701","19,192,527",0
Cheap Thrills,Sia,0,12/17/2015,"1,779,046,979","925,857,941","28,940,990",0
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,0,10/11/2011,"1,431,126,152","222,945,510","142,030",1
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,0,10/21/2011,"1,431,126,152","1,195,592","8,841,027",0
Until I Found You,Stephen Sanchez,0,9/1/2021,"1,020,452,066","3,320,885,451","11,693,340",0
Freaks,Surf Curse,0,5/15/2021,"1,089,328,286","2,110,692","4,341,439",0
ily (i love you baby) (feat. Emilee),Surf Mesa,0,11/26/2019,"912,461,674","3,076,620,938","8,738,165",0
Sunday Best,Surfaces,0,8/28/2018,"952,626,904","2,800,998,751","3,892,098",0
Dynamite,Taio Cruz,0,1/1/2010,"1,070,923,216","185,228,504","8,023,558",0
The Less I Know The Better,Tame Impala,0,7/17/2015,"1,644,031,037","947,781,800","7,313,343",1
"You're Gonna Go Far, Kid",The Offspring,0,6/12/2008,"968,810,827","47,328,081","3,522,400",1
I Love You So,The Walters,0,11/28/2014,"1,410,353,130","3,241,952,947","3,007,369",0
Breaking Me,Topic,0,12/19/2019,"1,128,612,961","602,190,373","15,373,934",0
Habits (Stay High),Tove Lo,0,3/15/2013,"919,756,735","685,728,708","12,405,534",0
"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix",Ty Dolla $ign,0,6/10/2014,"949,312,501","70,600,246","2,633,407",1
Taste (feat. Offset),Tyga,0,5/16/2018,"1,358,105,253","1,981,780,200","7,997,160",1
Wait a Minute!,WILLOW,0,1/11/2015,"1,081,039,358","2,051,079,047","7,344,889",0
Lalala,Y2K,0,6/28/2019,"968,133,091","6,342,877,983","9,155,025",1
La Bebe - Remix,Yng Lvcas,0,3/17/2023,"1,032,225,805","2,416,141,351","2,635,577",1
Murder On My Mind,YNW Melly,0,6/1/2018,"1,055,558,326","350,694,950","2,087,864",1
Rewrite The Stars,Zac Efron,0,11/17/2017,"989,608,207","205,446,459","1,889,560",0
Otra vez (feat. J Balvin),Zion & Lennox,0,9/30/2016,"912,446,776","27,776,697","2,796,246",0
a lot,21 Savage,1,12/21/2018,"949,835,159","131,214,658","3,759,769",1
Bank Account,21 Savage,1,7/6/2017,"1,150,653,471","812,215,684","4,014,637",1
Mood (feat. iann dior),24kGoldn,1,7/24/2020,"1,867,736,006","1,768,836,179","10,228,436",1
Youngblood,5 Seconds of Summer,1,4/12/2018,"1,790,579,305","81,167,209","10,854,729",0
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,1,5/25/2018,"1,244,981,489","650,317,525","6,227,926",1
Send My Love (To Your New Lover),Adele,1,11/20/2015,"1,064,599,051","261,382,201","8,268,701",0
When We Were Young,Adele,1,11/20/2015,"1,284,096,603","348,333,229","5,077,728",0
Hello,Adele,1,10/23/2015,"1,550,553,401","707,793,848","11,659,524",0
Set Fire to the Rain,Adele,1,1/1/2011,"1,595,514,674","3,469,644,756","16,180,523",0
Easy On Me,Adele,1,10/14/2021,"1,720,918,065","7,860,224,413","7,569,155",0
Someone Like You,Adele,1,1/18/2011,"1,925,879,064","401,049,702","14,474,611",0
Faded,Alan Walker,1,12/4/2015,"1,943,842,010","4,682,512,450","26,821,494",0
Scars To Your Beautiful,Alessia Cara,1,11/13/2015,"1,422,563,654","736,544,909","113,684",0
Best Day Of My Life,American Authors,1,1/1/2013,"999,525,686","329,470,084","8,366,702",0
2002,Anne-Marie,1,1/1/2015,"1,531,490,541","892,595,513","5,500,764",0
China,Anuel AA,1,7/19/2019,"1,178,076,574","146,747,450","5,865,011",0
505,Arctic Monkeys,1,4/21/2007,"1,660,504,577","229,596,064","2,550,560",0
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,1/1/2013,"1,687,828,519","45,596,295","3,369,366",0
I Wanna Be Yours,Arctic Monkeys,1,1/1/2013,"2,185,240,293","105,020,737","4,280,207",0
Do I Wanna Know?,Arctic Monkeys,1,1/1/2013,"2,188,592,950","71,629,637","10,708,249",0
Break Free,Ariana Grande,1,1/1/2014,"899,830,382","371,404,445","7,374,291",0
Love Me Harder,Ariana Grande,1,1/1/2014,"917,284,463","18,428,812","5,880,498",0
"break up with your girlfriend, i'm bored",Ariana Grande,1,2/8/2019,"975,281,654","218,317,192","2,386,682",1
34+35,Ariana Grande,1,10/30/2020,"978,617,707","359,903,081","1,769,544",1
God is a woman,Ariana Grande,1,7/13/2018,"1,064,927,546","2,480,889","2,195,677",1
Stuck with U (with Justin Bieber),Ariana Grande,1,5/8/2020,"1,120,501,187","561,421,880","4,103,756",0
Dangerous Woman,Ariana Grande,1,3/11/2016,"1,120,622,892","533,969,522","4,234,563",0
no tears left to cry,Ariana Grande,1,4/20/2018,"1,331,371,819","219,920,452","6,415,036",0
Into You,Ariana Grande,1,4/1/2016,"1,368,497,471","340,034,199","4,202,931",0
Side To Side,Ariana Grande,1,4/1/2016,"1,427,792,654","413,361,240","7,455,134",1
positions,Ariana Grande,1,10/23/2020,"1,432,830,108","1,984,520,688","3,299,253",1
One Last Time,Ariana Grande,1,8/21/2014,"1,465,918,510","285,511,671","5,273,745",0
"thank u, next",Ariana Grande,1,11/3/2018,"1,878,196,824","982,464,070","26,082",1
7 rings,Ariana Grande,1,1/18/2019,"2,262,490,403","2,620,954,252","7,983,512",1
Kings & Queens,Ava Max,1,3/12/2020,"955,439,608","2,036,664,297","8,517,243",0
Sweet but Psycho,Ava Max,1,8/17/2018,"1,668,741,024","2,733,847,243","13,479,680",0
Hey Brother,Avicii,1,1/1/2013,"1,007,623,089","160,676,196","10,854,307",0
Without You (feat. Sandro Cavazza),Avicii,1,8/10/2017,"1,074,175,360","229,614,343","5,939,460",1
Waiting For Love,Avicii,1,1/1/2015,"1,397,975,653","154,837,616","10,834,953",0
The Nights,Avicii,1,11/20/2011,"1,780,761,618","3,389,115,337","12,603,697",0
Wake Me Up,Avicii,1,1/1/2013,"2,325,017,580","360,378,218","28,653,448",0
Si Estuviï¿½ï¿½semos Ju,Bad Bunny,1,12/23/2018,"893,876,704","127,896,618","1,305,163",1
La Santa,Bad Bunny,1,2/29/2020,"915,557,792","69,210,381","1,024,927",1
LA NOCHE DE ANOCHE,Bad Bunny,1,11/27/2020,"990,189,999","229,672,086","1,742,777",0
Vete,Bad Bunny,1,11/21/2019,"991,885,224","76,307,093","1,422,487",1
Moscow Mule,Bad Bunny,1,5/6/2022,"1,108,031,580","940,630,746","1,644,044",1
Efecto,Bad Bunny,1,5/6/2022,"1,293,773,697","6,046,489,956","1,927,360",1
MIA (feat. Drake),Bad Bunny,1,10/11/2018,"1,318,254,846","244,589,825","6,952,792",0
Yonaguni,Bad Bunny,1,6/4/2021,"1,398,634,184","2,877,719,483","2,211,960",1
Ojitos Lindos,Bad Bunny,1,5/6/2022,"1,421,763,497","225,142,753","3,087,489",0
Callaita,Bad Bunny,1,5/31/2019,"1,448,173,030","354,361,373","3,026,321",1
Titï¿½ï¿½ Me Pregu,Bad Bunny,1,5/6/2022,"1,514,239,759","5,249,863,696","5,133,847",1
Me Porto Bonito,Bad Bunny,1,5/6/2022,"1,811,990,630","6,470,937,272","3,393,920",1
Dakiti,Bad Bunny,1,1/1/2020,"1,977,947,460","21,573,356","6,091,496",1
Pompeii,Bastille,1,1/1/2013,"1,590,278,292","587,669,621","14,002,280",0
MAMIII,Becky G,1,2/10/2022,"911,797,058","3,410,691,967","3,561,445",1
Halo,Beyoncï¿,1,1/1/2008,"1,556,326,643","1,532,183,215","8,440,483",0
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,7/13/2023,"891,720,245","3,998,086,216","4,476,509",0
i love you,Billie Eilish,1,3/29/2019,"930,343,185","724,117,161","2,035,027",0
Bellyache,Billie Eilish,1,2/24/2017,"965,899,534","287,094,813","3,988,502",0
bury a friend,Billie Eilish,1,1/30/2019,"1,014,870,547","1,519,293,340","4,133,474",0
idontwannabeyouanymore,Billie Eilish,1,7/21/2017,"1,091,185,920","372,214,292","2,223,597",0
Happier Than Ever,Billie Eilish,1,7/30/2021,"1,321,878,145","2,295,813,182","4,647,622",1
when the party's over,Billie Eilish,1,10/17/2018,"1,845,938,685","1,349,258,289","5,811,377",0
bad guy,Billie Eilish,1,3/29/2019,"2,516,804,300","1,409,756,969","18,994,040",0
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1,1/11/2023,"946,941,510","11,936,401,096","2,237,762",0
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,1,7/6/2022,"1,692,951,462","2,054,826,154","6,836,893",0
RITMO (Bad Boys For Life),Black Eyed Peas,1,10/12/2019,"961,358,721","307,352,160","11,191,965",1
I Gotta Feeling,Black Eyed Peas,1,1/1/2009,"1,423,655,688","680,999,560","11,916,814",0
How You Like That,BLACKPINK,1,6/25/2020,"1,033,109,188","7,988,463,856","3,461,123",0
Look Alive (feat. Drake),BlocBoy JB,1,2/9/2018,"982,424,606","172,191,863","2,879,816",1
The Lazy Song,Bruno Mars,1,10/5/2010,"950,810,060","852,185,637","5,749,737",0
Leave The Door Open,Bruno Mars,1,3/5/2021,"1,312,168,384","3,350,704,343","10,288,388",0
Grenade,Bruno Mars,1,1/1/2010,"1,313,545,266","147,790,820","7,702,096",0
Locked Out Of Heaven,Bruno Mars,1,1/1/2012,"2,004,657,631","91,255,671","715,420",0
Just the Way You Are,Bruno Mars,1,7/20/2010,"2,099,862,852","411,934,018","9,609,553",0
Boy With Luv (feat. Halsey),BTS,1,4/12/2019,"1,165,842,896","2,199,922,028","3,328,531",0
Butter,BTS,1,5/21/2021,"1,257,974,135","8,120,632,702","4,173,408",0
Dynamite,BTS,1,8/21/2020,"1,872,577,908","5,063,720,138","7,896,781",0
Blame,Calvin Harris,1,1/1/2014,"934,248,345","98,339,758","10,476,296",0
Feel So Close - Radio Edit,Calvin Harris,1,1/1/2011,"991,382,346","502,553,641","7,721,049",0
My Way,Calvin Harris,1,9/16/2016,"1,014,534,913","56,011,096","8,339,785",0
Promises (with Sam Smith),Calvin Harris,1,8/17/2018,"1,036,104,210","27,087,495","11,320,622",0
Slide,Calvin Harris,1,2/24/2017,"1,044,358,962","323,428,098","8,401,595",1
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,1,6/16/2017,"1,120,187,276","2,745,676,769","13,710,879",1
Outside (feat. Ellie Goulding),Calvin Harris,1,11/20/2011,"1,128,783,268","763,486,350","10,713,096",0
How Deep Is Your Love,Calvin Harris,1,7/17/2015,"1,156,342,373","982,629,718","14,394,209",0
Summer,Calvin Harris,1,1/1/2014,"1,497,564,072","1,214,191,679","11,380,320",0
This Is What You Came For,Calvin Harris,1,4/29/2016,"1,746,790,923","137,718,139","13,444,054",0
One Kiss (with Dua Lipa),Calvin Harris,1,1/1/2015,"2,178,606,166","1,597,020,461","15,829,169",0
Bam Bam (feat. Ed Sheeran),Camila Cabello,1,10/29/2021,"907,821,800","702,113,761","7,126,240",0
Havana (feat. Young Thug),Camila Cabello,1,8/3/2017,"2,072,182,782","546,650,805","16,095,913",0
Bodak Yellow,Cardi B,1,6/16/2017,"894,360,950","324,949,762","6,520,985",1
WAP (feat. Megan Thee Stallion),Cardi B,1,8/7/2020,"1,325,725,696","9,539,547,626","4,618,794",1
I Like It,Cardi B,1,4/6/2018,"1,624,314,065","1,060,409,911","53,850",1
Call Me Maybe,Carly Rae Jepsen,1,1/1/2012,"1,394,048,309","367,016,981","14,252,942",0
A Thousand Years,Christina Perri,1,10/18/2011,"1,654,956,613","8,594,414,469","15,974,659",0
Apocalypse,Cigarettes After Sex,1,3/21/2017,"1,305,189,811","435,331,773","4,881,850",1
Solo (feat. Demi Lovato),Clean Bandit,1,5/17/2018,"1,042,065,058","3,283,690,900","14,928,007",0
Rather Be (feat. Jess Glynne),Clean Bandit,1,1/1/2013,"1,327,093,253","1,196,196,511","25,620,314",0
Symphony (feat. Zara Larsson),Clean Bandit,1,3/16/2017,"1,456,894,713","386,013,926","9,434,537",0
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1,10/21/2016,"1,528,107,667","595,697,842","23,696,980",1
Paradise,Coldplay,1,10/19/2011,"1,291,954,163","1,016,743,063","8,726,725",0
The Scientist,Coldplay,1,8/5/2002,"1,903,413,912","481,408,577","150,106",0
Viva La Vida,Coldplay,1,9/21/2005,"2,102,223,775","2,264,301,241","54,637",0
Heather,Conan Gray,1,3/20/2020,"1,675,083,208","755,895,289","2,614,466",0
ROCKSTAR (feat. Roddy Ricch),DaBaby,1,4/17/2020,"1,638,836,101","3,869,815,694","7,646,337",1
Get You (feat. Kali Uchis),Daniel Caesar,1,10/21/2016,"1,024,198,691","101,238,385","4,056,356",0
Best Part (feat. H.E.R.),Daniel Caesar,1,8/25/2017,"1,362,614,026","854,742,783","4,584,343",0
Me Rehï¿½ï,Danny Ocean,1,11/3/2017,"1,778,934,858","158,762,431","6,246,243",0
I'm Good (Blue),David Guetta,1,8/26/2022,"1,658,229,422","1,051,836,430","10,973,120",1
Sorry Not Sorry,Demi Lovato,1,7/11/2017,"1,156,601,592","278,587,450","3,291,558",1
Wild Thoughts,DJ Khaled,1,6/16/2017,"1,164,638,213","86,703,560","11,992,440",1
Middle,DJ Snake,1,10/16/2015,"1,068,023,888","288,028,736","12,615,013",0
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,1,9/28/2018,"1,570,233,605","40,964,161","8,754,118",1
Let Me Love You,DJ Snake,1,8/5/2016,"2,147,028,486","528,988,791","15,320,597",0
Streets,Doja Cat,1,11/7/2019,"1,056,939,084","3,347,862,526","6,716,450",1
Paint The Town Red,Doja Cat,1,8/4/2023,"1,065,399,331","7,095,564,106","7,559,816",1
Need To Know,Doja Cat,1,6/11/2021,"1,178,076,856","2,422,643,413","5,746,726",1
Say So,Doja Cat,1,11/7/2019,"1,199,270,601","5,494,376,938","10,741,166",1
Woman,Doja Cat,1,6/25/2021,"1,606,950,381","5,944,657,895","5,907,933",1
Kiss Me More (feat. SZA),Doja Cat,1,4/9/2021,"1,823,871,908","8,035,914,098","9,556,378",1
Danza Kuduro,Don Omar,1,1/1/2010,"1,656,974,409","191,397,624","3,110",0
Laugh Now Cry Later (feat. Lil Durk),Drake,1,8/14/2020,"962,634,706","232,612,189","2,255,595",1
Fake Love,Drake,1,1/27/2017,"967,826,246","41,423,093","3,095,923",1
Jimmy Cooks (feat. 21 Savage),Drake,1,6/17/2022,"971,473,231","926,300,276","3,142,892",1
Too Good,Drake,1,4/29/2016,"1,052,473,730","308,797,315","4,577,263",1
Toosie Slide,Drake,1,4/3/2020,"1,059,262,917","3,734,881,670","5,308,249",1
Nonstop,Drake,1,6/29/2018,"1,118,459,427","2,167,216,619","4,021,390",1
Nice For What,Drake,1,4/6/2018,"1,276,685,592","107,294,147","6,416,734",1
Hotline Bling,Drake,1,7/31/2015,"1,335,494,972","284,269,402","11,339,270",0
In My Feelings,Drake,1,6/29/2018,"1,389,607,643","521,014,819","7,188,287",1
Passionfruit,Drake,1,3/18/2017,"1,625,307,365","907,498,533","5,160,420",0
God's Plan,Drake,1,1/20/2018,"2,529,948,475","634,177,218","9,512,236",1
One Dance,Drake,1,4/4/2016,"3,192,204,066","388,544,079","21,316,589",0
Levitating,Dua Lipa,1,3/27/2020,"946,842,175","4,779,580,212","3,946,971",0
Physical,Dua Lipa,1,1/30/2020,"967,029,446","430,832,681","5,988,911",0
Break My Heart,Dua Lipa,1,3/25/2020,"1,198,689,895","1,509,626,629","6,690,156",0
IDGAF,Dua Lipa,1,6/2/2017,"1,583,012,380","135,618,240","6,705,604",1
